"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G36000100141004","19","5","360010141004"
"G36000100142011","52","8","360010142011"
"G36000100142012","33","7","360010142012"
"G36000100142013","24","6","360010142013"
"G36000100142014","53","8","360010142014"
"G36000100142021","49","8","360010142021"
"G36000100142022","36","7","360010142022"
"G36000100142023","25","6","360010142023"
"G36000100142024","20","5","360010142024"
"G36000100142031","26","6","360010142031"
"G36000100142032","21","5","360010142032"
"G36000100142033","26","6","360010142033"
"G36000100142034","31","6","360010142034"
"G36000100142035","30","6","360010142035"
"G36000100143011","46","7","360010143011"
"G36000100143012","44","7","360010143012"
"G36000100143031","21","5","360010143031"
"G36000100143032","28","6","360010143032"
"G36000100143033","29","6","360010143033"
"G36000100143041","51","8","360010143041"
"G36000100143042","41","7","360010143042"
"G36000100144011","60","8","360010144011"
"G36000100144012","47","7","360010144012"
"G36000100144013","39","7","360010144013"
"G36000100144021","62","8","360010144021"
"G36000100144022","61","8","360010144022"
"G36000100145011","29","6","360010145011"
"G36000100145012","25","6","360010145012"
"G36000100145021","29","6","360010145021"
"G36000100145022","34","7","360010145022"
"G36000100145023","33","7","360010145023"
"G36000100145031","42","7","360010145031"
"G36000100145032","37","7","360010145032"
"G36000100146061","13","4","360010146061"
"G36000100146062","43","7","360010146062"
"G36000100146063","37","7","360010146063"
"G36000100146081","GQ","GQ","360010146081"
"G36000100146082","45","7","360010146082"
"G36000100146091","50","8","360010146091"
"G36000100146092","43","7","360010146092"
"G36000100146093","48","7","360010146093"
"G36000100146111","25","6","360010146111"
"G36000100146112","22","5","360010146112"
"G36000100146121","41","7","360010146121"
"G36000100146131","27","6","360010146131"
"G36000100146132","37","7","360010146132"
"G36000100146133","52","8","360010146133"
"G36000100146141","11","3","360010146141"
"G36000100146142","39","7","360010146142"
"G36000100146143","42","7","360010146143"
"G36000100146144","28","6","360010146144"
"G36000100146151","28","6","360010146151"
"G36000100146152","24","6","360010146152"
"G36000100146161","23","6","360010146161"
"G36000100146162","32","7","360010146162"
"G36000100146163","32","7","360010146163"
"G36000100146171","30","6","360010146171"
"G36000100146172","30","6","360010146172"
"G36000100147001","38","7","360010147001"
"G36000100147002","35","7","360010147002"
"G36000100148011","60","8","360010148011"
"G36000100148012","36","7","360010148012"
"G36000100148013","52","8","360010148013"
"G36000100148021","50","8","360010148021"
"G36000100148022","38","7","360010148022"
"G36000100148031","58","8","360010148031"
"G36000100148032","40","7","360010148032"
"G36000309402001","PH","PH","360039402001"
"G36000309501001","84","10","360039501001"
"G36000309501002","85","10","360039501002"
"G36000309501003","67","9","360039501003"
"G36000309503001","88","10","360039503001"
"G36000309503002","76","9","360039503002"
"G36000309503003","GQ","GQ","360039503003"
"G36000309504011","79","9","360039504011"
"G36000309504012","93","10","360039504012"
"G36000309504021","82","10","360039504021"
"G36000309504022","83","10","360039504022"
"G36000309504023","81","9","360039504023"
"G36000309505001","83","10","360039505001"
"G36000309505002","86","10","360039505002"
"G36000309505003","87","10","360039505003"
"G36000309505004","94","10","360039505004"
"G36000309506001","84","10","360039506001"
"G36000309506002","92","10","360039506002"
"G36000309506003","95","10","360039506003"
"G36000309506004","92","10","360039506004"
"G36000309507001","86","10","360039507001"
"G36000309507002","87","10","360039507002"
"G36000309507003","91","10","360039507003"
"G36000309508001","80","9","360039508001"
"G36000309508002","GQ","GQ","360039508002"
"G36000309508003","GQ","GQ","360039508003"
"G36000309509001","88","10","360039509001"
"G36000309509002","87","10","360039509002"
"G36000309509003","90","10","360039509003"
"G36000309509004","86","10","360039509004"
"G36000309510001","88","10","360039510001"
"G36000309510002","90","10","360039510002"
"G36000309510003","85","10","360039510003"
"G36000309511001","87","10","360039511001"
"G36000309511002","80","9","360039511002"
"G36000309511003","89","10","360039511003"
"G36000309511004","87","10","360039511004"
"G36000309512011","95","10","360039512011"
"G36000309512012","94","10","360039512012"
"G36000309512013","91","10","360039512013"
"G36000309512021","91","10","360039512021"
"G36000309512022","83","10","360039512022"
"G36000309512023","91","10","360039512023"
"G36000309513011","92","10","360039513011"
"G36000309513012","88","10","360039513012"
"G36000309513021","84","10","360039513021"
"G36000309513022","85","10","360039513022"
"G36000309513023","86","10","360039513023"
"G36000500001000","PH","PH","360050001000"
"G36000500001001","GQ-PH","GQ-PH","360050001001"
"G36000500002000","PH","PH","360050002000"
"G36000500002001","26","6","360050002001"
"G36000500002002","19","5","360050002002"
"G36000500002003","21","5","360050002003"
"G36000500004000","PH","PH","360050004000"
"G36000500004001","18","5","360050004001"
"G36000500004002","13","4","360050004002"
"G36000500004003","19","5","360050004003"
"G36000500004004","14","4","360050004004"
"G36000500016001","16","4","360050016001"
"G36000500016002","18","5","360050016002"
"G36000500016003","15","4","360050016003"
"G36000500016004","11","3","360050016004"
"G36000500019011","23","6","360050019011"
"G36000500019021","GQ","GQ","360050019021"
"G36000500019031","PH","PH","360050019031"
"G36000500019032","PH","PH","360050019032"
"G36000500019040","PH","PH","360050019040"
"G36000500019041","PH","PH","360050019041"
"G36000500019042","PH","PH","360050019042"
"G36000500020011","29","6","360050020011"
"G36000500020012","29","6","360050020012"
"G36000500020013","24","6","360050020013"
"G36000500020021","24","6","360050020021"
"G36000500020022","18","5","360050020022"
"G36000500020023","24","6","360050020023"
"G36000500023001","27","6","360050023001"
"G36000500023002","28","6","360050023002"
"G36000500023003","28","6","360050023003"
"G36000500024000","PH","PH","360050024000"
"G36000500024001","PH","PH","360050024001"
"G36000500025001","12","3","360050025001"
"G36000500025002","13","4","360050025002"
"G36000500025003","13","4","360050025003"
