"","condition","means","ID","trial","artifactFlag","bindescr"
"114","Rej_Acc",10.5654,1001,40,0,"RA (Rej-Acc)"
"115","Rej_Rej",13.9392,1001,41,0,"AR (Acc-Rej)"
"116","Acc_Rej",28.2611,1001,42,0,"AR (Acc-Rej)"
"117","Acc_Acc",32.2152,1001,43,0,"AA (Acc-Acc)"
"118","Rej_Rej",-26.8319,1001,44,0,"RA (Rej-Acc)"
"119","Acc_Acc",29.2777,1001,45,0,"AR (Acc-Rej)"
"120","Acc_Acc",21.4733,1001,46,0,"RA (Rej-Acc)"
"121","Acc_Rej",10.3954,1001,47,0,"RR (Rej-Rej)"
"122","Rej_Rej",-28.7304,1001,48,0,"AR (Acc-Rej)"
"123","Acc_Acc",8.39626,1001,49,0,"AA (Acc-Acc)"
"124","Acc_Rej",-10.8413,1001,51,0,"RR (Rej-Rej)"
"125","Rej_Acc",5.14046,1001,52,0,"AA (Acc-Acc)"
"126","Acc_Acc",3.15543,1001,53,0,"AA (Acc-Acc)"
"127","Acc_Acc",-46.0966,1001,55,0,"AR (Acc-Rej)"
"128","Rej_Acc",22.1825,1001,62,0,"RR (Rej-Rej)"
"129","Acc_Rej",33.805,1001,63,0,"AA (Acc-Acc)"
"130","Rej_Rej",-5.47219,1001,64,0,"AR (Acc-Rej)"
"131","Acc_Rej",46.0376,1001,65,0,"AR (Acc-Rej)"
"132","Rej_Acc",-16.8776,1001,66,0,"RA (Rej-Acc)"
"133","Rej_Rej",10.0334,1001,67,0,"AA (Acc-Acc)"
"134","Acc_Rej",-19.5489,1001,68,0,"AR (Acc-Rej)"
"135","Rej_Acc",24.3673,1001,69,0,"AA (Acc-Acc)"
"136","Rej_Acc",1.3141,1001,72,0,"AR (Acc-Rej)"
"137","Acc_Acc",24.432,1004,1,0,"AA (Acc-Acc)"
"138","Rej_Rej",28.7165,1004,2,0,"RR (Rej-Rej)"
"139","Rej_Rej",12.7768,1004,3,0,"RR (Rej-Rej)"
"140","Acc_Acc",21.0389,1004,4,0,"AA (Acc-Acc)"
"141","Acc_Rej",5.17372,1004,5,0,"AR (Acc-Rej)"
"142","Rej_Rej",14.659,1004,6,0,"RR (Rej-Rej)"
"143","Acc_Acc",23.579,1004,7,0,"AA (Acc-Acc)"
"144","Acc_Rej",6.68604,1004,8,0,"AR (Acc-Rej)"
"145","Rej_Rej",21.131,1004,9,0,"RR (Rej-Rej)"
"146","Acc_Acc",9.1915,1004,10,0,"AA (Acc-Acc)"
"147","Acc_Rej",-1.5694,1004,11,0,"AR (Acc-Rej)"
"148","Acc_Acc",-1.70784,1004,12,0,"AA (Acc-Acc)"
"149","Rej_Rej",7.67125,1004,13,0,"RR (Rej-Rej)"
"150","Rej_Acc",9.72557,1004,14,0,"RA (Rej-Acc)"
"151","Acc_Rej",2.20223,1004,15,0,"AR (Acc-Rej)"
"152","Acc_Rej",8.63034,1004,16,0,"AR (Acc-Rej)"
"153","Acc_Acc",8.60445,1004,17,0,"AA (Acc-Acc)"
"154","Rej_Rej",18.7212,1004,18,0,"RR (Rej-Rej)"
"155","Acc_Rej",6.62981,1004,19,0,"AR (Acc-Rej)"
"156","Rej_Acc",-15.2426,1004,20,0,"RA (Rej-Acc)"
"157","Rej_Acc",20.6922,1004,21,0,"RA (Rej-Acc)"
"158","Acc_Rej",24.4761,1004,22,0,"AR (Acc-Rej)"
"159","Rej_Acc",7.43166,1004,23,0,"RA (Rej-Acc)"
"160","Rej_Rej",20.307,1004,24,0,"RR (Rej-Rej)"
"161","Acc_Acc",38.4354,1004,25,0,"AA (Acc-Acc)"
"162","Rej_Acc",4.27046,1004,26,0,"RA (Rej-Acc)"
"163","Rej_Rej",14.4038,1004,27,0,"RR (Rej-Rej)"
"164","Acc_Acc",13.411,1004,28,0,"AA (Acc-Acc)"
"165","Rej_Rej",30.844,1004,29,0,"RR (Rej-Rej)"
"166","Rej_Acc",16.6542,1004,30,0,"RA (Rej-Acc)"
"167","Rej_Rej",-6.2673,1004,31,0,"RR (Rej-Rej)"
"168","Acc_Acc",-6.85566,1004,32,0,"AA (Acc-Acc)"
"169","Rej_Rej",5.75942,1004,33,0,"RR (Rej-Rej)"
"170","Rej_Rej",20.9523,1004,34,0,"RR (Rej-Rej)"
"171","Rej_Acc",7.84996,1004,35,0,"RA (Rej-Acc)"
"172","Rej_Acc",4.40015,1004,36,0,"RA (Rej-Acc)"
"173","Acc_Rej",6.69784,1004,37,0,"AR (Acc-Rej)"
"174","Acc_Acc",2.32296,1004,38,0,"AA (Acc-Acc)"
"175","Acc_Acc",17.9951,1004,39,0,"AA (Acc-Acc)"
"176","Rej_Acc",-4.51044,1004,40,0,"RA (Rej-Acc)"
"177","Acc_Rej",-3.88578,1004,41,0,"AR (Acc-Rej)"
"178","Acc_Rej",2.62225,1004,42,0,"AR (Acc-Rej)"
"179","Acc_Acc",16.0112,1004,43,0,"AA (Acc-Acc)"
"180","Rej_Acc",2.26498,1004,44,0,"RA (Rej-Acc)"
"181","Acc_Rej",10.4067,1004,45,0,"AR (Acc-Rej)"
"182","Rej_Acc",17.4318,1004,46,0,"RA (Rej-Acc)"
"183","Rej_Rej",2.46212,1004,47,0,"RR (Rej-Rej)"
"184","Acc_Rej",17.4946,1004,48,0,"AR (Acc-Rej)"
"185","Acc_Acc",17.0238,1004,49,0,"AA (Acc-Acc)"
"186","Rej_Acc",-2.69367,1004,50,0,"RA (Rej-Acc)"
"187","Rej_Rej",-3.061,1004,51,0,"RR (Rej-Rej)"
"188","Acc_Acc",0.565352,1004,52,0,"AA (Acc-Acc)"
"189","Acc_Acc",10.7221,1004,53,0,"AA (Acc-Acc)"
"190","Rej_Rej",18.2714,1004,54,0,"RR (Rej-Rej)"
"191","Acc_Rej",3.82457,1004,55,0,"AR (Acc-Rej)"
"192","Rej_Acc",11.8399,1004,56,0,"RA (Rej-Acc)"
"193","Rej_Rej",13.6981,1004,57,0,"RR (Rej-Rej)"
"194","Acc_Acc",5.35624,1004,58,0,"AA (Acc-Acc)"
"195","Acc_Rej",2.26124,1004,59,0,"AR (Acc-Rej)"
"196","Acc_Rej",8.21589,1004,60,0,"AR (Acc-Rej)"
"197","Rej_Acc",4.633,1004,61,0,"RA (Rej-Acc)"
"198","Rej_Rej",20.1074,1004,62,0,"RR (Rej-Rej)"
"199","Acc_Acc",24.8944,1004,63,0,"AA (Acc-Acc)"
"200","Acc_Rej",6.50666,1004,64,0,"AR (Acc-Rej)"
"201","Acc_Rej",21.2813,1004,65,0,"AR (Acc-Rej)"
"202","Acc_Rej",-0.568226,1004,67,0,"AA (Acc-Acc)"
"203","Acc_Acc",-7.77255,1004,68,0,"AR (Acc-Rej)"
"204","Rej_Acc",11.5393,1004,69,0,"AA (Acc-Acc)"
"205","Acc_Rej",13.4796,1004,70,0,"RA (Rej-Acc)"
"206","Acc_Rej",-17.9475,1004,71,0,"AR (Acc-Rej)"
"207","Rej_Acc",23.5325,1004,72,0,"AR (Acc-Rej)"
"208","Acc_Rej",1.31291,1004,73,0,"RA (Rej-Acc)"
"209","Rej_Rej",2.63029,1004,74,0,"AR (Acc-Rej)"
"210","Rej_Acc",-1.79932,1004,75,0,"RR (Rej-Rej)"
"211","Rej_Rej",23.9097,1004,76,0,"RA (Rej-Acc)"
"212","Acc_Acc",-5.67957,1004,77,0,"RR (Rej-Rej)"
"213","Acc_Rej",-0.555465,1004,78,0,"AA (Acc-Acc)"
"214","Rej_Acc",-0.307047,1004,79,0,"AR (Acc-Rej)"
"215","Acc_Rej",-6.11842,1004,80,0,"RA (Rej-Acc)"
"216","Rej_Acc",-9.56367,1004,81,0,"AR (Acc-Rej)"
"217","Acc_Acc",12.7047,1004,82,0,"RA (Rej-Acc)"
"218","Rej_Rej",21.0382,1004,83,0,"AA (Acc-Acc)"
"219","Acc_Rej",11.8807,1004,84,0,"RR (Rej-Rej)"
"220","Rej_Acc",5.11723,1004,85,0,"AR (Acc-Rej)"
"221","Rej_Rej",-8.34078,1004,86,0,"RA (Rej-Acc)"
"222","Rej_Acc",-15.8319,1004,87,0,"RR (Rej-Rej)"
"223","Acc_Rej",32.9995,1004,88,0,"RA (Rej-Acc)"
"224","Rej_Acc",2.06401,1004,89,0,"AR (Acc-Rej)"
"225","Acc_Acc",6.24303,1004,90,0,"RA (Rej-Acc)"
"226","Rej_Acc",3.50997,1004,91,0,"AA (Acc-Acc)"
"227","Rej_Rej",11.3292,1004,92,0,"RA (Rej-Acc)"
"228","Acc_Acc",-9.98578,1004,93,0,"RR (Rej-Rej)"
"229","Acc_Acc",-7.8721,1004,94,0,"AA (Acc-Acc)"
"230","Rej_Rej",22.8697,1004,95,0,"AA (Acc-Acc)"
"231","Rej_Rej",3.16692,1004,96,0,"RR (Rej-Rej)"
"232","Acc_Acc",-0.454691,1004,97,0,"RR (Rej-Rej)"
"233","Rej_Acc",-8.68575,1004,98,0,"AA (Acc-Acc)"
"234","Rej_Rej",4.02207,1004,99,0,"RA (Rej-Acc)"
"235","Acc_Acc",25.5095,1006,1,0,"AA (Acc-Acc)"
"236","Rej_Rej",15.1873,1006,2,0,"RR (Rej-Rej)"
"237","Rej_Rej",25.6556,1006,3,0,"RR (Rej-Rej)"
"238","Acc_Acc",12.7065,1006,4,0,"AA (Acc-Acc)"
"239","Acc_Rej",-2.15793,1006,5,0,"AR (Acc-Rej)"
"240","Rej_Rej",37.3526,1006,6,0,"RR (Rej-Rej)"
"241","Acc_Acc",-9.58047,1006,7,0,"AA (Acc-Acc)"
"242","Acc_Rej",15.7407,1006,8,0,"AR (Acc-Rej)"
"243","Rej_Rej",7.22778,1006,9,0,"RR (Rej-Rej)"
"244","Acc_Acc",10.5686,1006,10,0,"AA (Acc-Acc)"
"245","Acc_Rej",22.849,1006,11,0,"AR (Acc-Rej)"
"246","Acc_Acc",28.9021,1006,12,0,"AA (Acc-Acc)"
"247","Rej_Rej",30.2406,1006,13,0,"RR (Rej-Rej)"
"248","Rej_Acc",31.0909,1006,14,0,"RA (Rej-Acc)"
"249","Acc_Rej",40.7983,1006,15,0,"AR (Acc-Rej)"
"250","Acc_Rej",12.0498,1006,16,0,"AR (Acc-Rej)"
"251","Acc_Acc",-3.90949,1006,17,0,"AA (Acc-Acc)"
"252","Rej_Rej",-1.44538,1006,18,0,"RR (Rej-Rej)"
"253","Acc_Rej",10.9479,1006,19,0,"AR (Acc-Rej)"
"254","Rej_Acc",36.9879,1006,20,0,"RA (Rej-Acc)"
"255","Rej_Acc",26.8696,1006,21,0,"RA (Rej-Acc)"
"256","Acc_Rej",18.1604,1006,22,0,"AR (Acc-Rej)"
"257","Rej_Acc",0.914701,1006,23,0,"RA (Rej-Acc)"
"258","Rej_Rej",-0.237026,1006,24,0,"RR (Rej-Rej)"
"259","Acc_Acc",22.5255,1006,25,0,"AA (Acc-Acc)"
"260","Rej_Acc",10.0181,1006,26,0,"RA (Rej-Acc)"
"261","Rej_Rej",23.2038,1006,27,0,"RR (Rej-Rej)"
"262","Acc_Acc",30.2571,1006,28,0,"AA (Acc-Acc)"
"263","Rej_Rej",33.6067,1006,29,0,"RR (Rej-Rej)"
"264","Rej_Acc",-4.87507,1006,30,0,"RA (Rej-Acc)"
"265","Rej_Rej",-13.3934,1006,31,0,"RR (Rej-Rej)"
"266","Acc_Acc",19.6439,1006,32,0,"AA (Acc-Acc)"
"267","Rej_Rej",11.6397,1006,33,0,"RR (Rej-Rej)"
"268","Rej_Rej",23.2174,1006,34,0,"RR (Rej-Rej)"
"269","Rej_Acc",1.42962,1006,35,0,"RA (Rej-Acc)"
"270","Rej_Acc",34.7188,1006,36,0,"RA (Rej-Acc)"
"271","Acc_Rej",8.64155,1006,37,0,"AR (Acc-Rej)"
"272","Acc_Acc",28.4663,1006,38,0,"AA (Acc-Acc)"
"273","Acc_Acc",-0.352164,1006,39,0,"AA (Acc-Acc)"
"274","Rej_Acc",18.3376,1006,40,0,"RA (Rej-Acc)"
"275","Acc_Rej",7.3728,1006,41,0,"AR (Acc-Rej)"
"276","Acc_Rej",42.8361,1006,42,0,"AR (Acc-Rej)"
"277","Acc_Acc",37.7749,1006,43,0,"AA (Acc-Acc)"
"278","Rej_Acc",-9.51419,1006,44,0,"RA (Rej-Acc)"
"279","Acc_Rej",-6.82838,1006,45,0,"AR (Acc-Rej)"
"280","Rej_Acc",19.8574,1006,46,0,"RA (Rej-Acc)"
"281","Rej_Rej",0.10729,1006,47,0,"RR (Rej-Rej)"
"282","Acc_Rej",-5.55714,1006,48,0,"AR (Acc-Rej)"
"283","Acc_Acc",16.2674,1006,49,0,"AA (Acc-Acc)"
"284","Rej_Acc",3.6457,1006,50,0,"RA (Rej-Acc)"
"285","Rej_Rej",2.43901,1006,51,0,"RR (Rej-Rej)"
"286","Acc_Acc",10.3962,1006,52,0,"AA (Acc-Acc)"
"287","Acc_Acc",31.3035,1006,53,0,"AA (Acc-Acc)"
"288","Rej_Rej",5.32318,1006,54,0,"RR (Rej-Rej)"
"289","Acc_Rej",-7.77426,1006,55,0,"AR (Acc-Rej)"
"290","Rej_Acc",-6.94194,1006,56,0,"RA (Rej-Acc)"
"291","Rej_Rej",-3.09358,1006,57,0,"RR (Rej-Rej)"
"292","Acc_Acc",2.72907,1006,58,0,"AA (Acc-Acc)"
"293","Acc_Rej",30.9412,1006,59,0,"AR (Acc-Rej)"
"294","Acc_Rej",4.22773,1006,60,0,"AR (Acc-Rej)"
"295","Rej_Acc",-3.8155,1006,61,0,"RA (Rej-Acc)"
"296","Rej_Rej",-8.44774,1006,62,0,"RR (Rej-Rej)"
"297","Acc_Acc",16.8041,1006,63,0,"AA (Acc-Acc)"
"298","Acc_Rej",13.7232,1006,64,0,"AR (Acc-Rej)"
"299","Acc_Rej",14.1479,1006,65,0,"AR (Acc-Rej)"
"300","Rej_Acc",17.7888,1006,66,0,"RA (Rej-Acc)"
"301","Acc_Acc",-0.937206,1006,67,0,"AA (Acc-Acc)"
"302","Acc_Rej",29.749,1006,68,0,"AR (Acc-Rej)"
"303","Acc_Acc",16.1788,1006,69,0,"AA (Acc-Acc)"
"304","Rej_Acc",29.6225,1006,70,0,"RA (Rej-Acc)"
"305","Acc_Rej",11.9421,1006,71,0,"AR (Acc-Rej)"
"306","Acc_Rej",-10.6283,1006,72,0,"AR (Acc-Rej)"
"307","Rej_Acc",-9.54655,1006,73,0,"RA (Rej-Acc)"
"308","Acc_Rej",22.3942,1006,74,0,"AR (Acc-Rej)"
"309","Rej_Rej",5.97825,1006,75,0,"RR (Rej-Rej)"
"310","Rej_Acc",10.6153,1006,76,0,"RA (Rej-Acc)"
"311","Rej_Rej",-4.18439,1006,77,0,"RR (Rej-Rej)"
"312","Acc_Acc",39.4511,1006,78,0,"AA (Acc-Acc)"
"313","Acc_Rej",25.6379,1006,79,0,"AR (Acc-Rej)"
