"GISJOIN","ADI_NATRANK","ADI_STATERNK","FIPS"
"G17002300603001","91","9","170230603001"
"G17002300603002","94","10","170230603002"
"G17002300603003","66","7","170230603003"
"G17002300603004","91","9","170230603004"
"G17002300603005","90","9","170230603005"
"G17002300603006","91","9","170230603006"
"G17002300603007","92","10","170230603007"
"G17002300604001","90","9","170230604001"
"G17002300604002","73","7","170230604002"
"G17002509719001","77","8","170259719001"
"G17002509719002","80","8","170259719002"
"G17002509720001","88","9","170259720001"
"G17002509720002","93","10","170259720002"
"G17002509720003","83","9","170259720003"
"G17002509721001","85","9","170259721001"
"G17002509721002","92","10","170259721002"
"G17002509721003","79","8","170259721003"
"G17002509722001","83","9","170259722001"
"G17002509722002","81","8","170259722002"
"G17002709001001","28","2","170279001001"
"G17002709001002","59","6","170279001002"
"G17002709001003","75","8","170279001003"
"G17002709001004","63","6","170279001004"
"G17002709002001","53","5","170279002001"
"G17002709002002","53","5","170279002002"
"G17002709003001","61","6","170279003001"
"G17002709004011","81","8","170279004011"
"G17002709004031","60","6","170279004031"
"G17002709004032","90","9","170279004032"
"G17002709004033","77","8","170279004033"
"G17002709004034","56","5","170279004034"
"G17002709004035","80","8","170279004035"
"G17002709004041","59","6","170279004041"
"G17002709004042","86","9","170279004042"
"G17002709005001","GQ","GQ","170279005001"
"G17002709005002","99","10","170279005002"
"G17002709005003","85","9","170279005003"
"G17002709005004","69","7","170279005004"
"G17002709005005","95","10","170279005005"
"G17002709006011","53","5","170279006011"
"G17002709006012","62","6","170279006012"
"G17002709006021","48","4","170279006021"
"G17002709006022","70","7","170279006022"
"G17002709006023","64","6","170279006023"
"G17002709006024","51","5","170279006024"
"G17002709006025","50","5","170279006025"
"G17002900001001","91","9","170290001001"
"G17002900001002","90","9","170290001002"
"G17002900001003","58","6","170290001003"
"G17002900001004","84","9","170290001004"
"G17002900002001","40","4","170290002001"
"G17002900002002","55","5","170290002002"
"G17002900002003","58","6","170290002003"
"G17002900002004","66","7","170290002004"
"G17002900002005","48","4","170290002005"
"G17002900003001","95","10","170290003001"
"G17002900003002","86","9","170290003002"
"G17002900003003","89","9","170290003003"
"G17002900003004","82","8","170290003004"
"G17002900003005","76","8","170290003005"
"G17002900004001","95","10","170290004001"
"G17002900004002","98","10","170290004002"
"G17002900004003","99","10","170290004003"
"G17002900005001","90","9","170290005001"
"G17002900005002","95","10","170290005002"
"G17002900005003","99","10","170290005003"
"G17002900005004","99","10","170290005004"
"G17002900005005","82","8","170290005005"
"G17002900005006","93","10","170290005006"
"G17002900006001","62","6","170290006001"
"G17002900006002","56","5","170290006002"
"G17002900006003","63","6","170290006003"
"G17002900006004","90","9","170290006004"
"G17002900007011","57","6","170290007011"
"G17002900007012","82","8","170290007012"
"G17002900007021","95","10","170290007021"
"G17002900007022","92","10","170290007022"
"G17002900007023","89","9","170290007023"
"G17002900008001","GQ","GQ","170290008001"
"G17002900008002","80","8","170290008002"
"G17002900008003","GQ","GQ","170290008003"
"G17002900009001","73","7","170290009001"
"G17002900009002","57","6","170290009002"
"G17002900009003","52","5","170290009003"
"G17002900010001","92","10","170290010001"
"G17002900010002","60","6","170290010002"
"G17002900010003","97","10","170290010003"
"G17002900011001","94","10","170290011001"
"G17002900011002","91","9","170290011002"
"G17002900011003","82","8","170290011003"
"G17002900012001","85","9","170290012001"
"G17002900012002","96","10","170290012002"
"G17002900012003","74","7","170290012003"
"G17003100101001","11","1","170310101001"
"G17003100101002","29","2","170310101002"
"G17003100101003","49","5","170310101003"
"G17003100102011","66","7","170310102011"
"G17003100102012","28","2","170310102012"
"G17003100102013","69","7","170310102013"
"G17003100102014","64","6","170310102014"
"G17003100102021","70","7","170310102021"
"G17003100102022","61","6","170310102022"
"G17003100103001","62","6","170310103001"
"G17003100103002","48","4","170310103002"
"G17003100103003","48","4","170310103003"
"G17003100103004","52","5","170310103004"
"G17003100104001","32","3","170310104001"
"G17003100104002","70","7","170310104002"
"G17003100104003","GQ","GQ","170310104003"
"G17003100105011","68","7","170310105011"
"G17003100105012","35","3","170310105012"
"G17003100105013","36","3","170310105013"
"G17003100105021","52","5","170310105021"
"G17003100105022","50","5","170310105022"
"G17003100105031","29","2","170310105031"
"G17003100105032","67","7","170310105032"
"G17003100106001","59","6","170310106001"
"G17003100106002","15","1","170310106002"
"G17003100106003","52","5","170310106003"
"G17003100106004","74","7","170310106004"
"G17003100107011","61","6","170310107011"
"G17003100107012","43","4","170310107012"
"G17003100107021","47","4","170310107021"
"G17003100107022","79","8","170310107022"
"G17003100107023","69","7","170310107023"
"G17003100107024","38","3","170310107024"
"G17003100201001","43","4","170310201001"
"G17003100201002","72","7","170310201002"
"G17003100202001","17","1","170310202001"
"G17003100202002","19","1","170310202002"
"G17003100202003","20","2","170310202003"
"G17003100202004","26","2","170310202004"
"G17003100203011","65","6","170310203011"
"G17003100203012","61","6","170310203012"
"G17003100203013","18","1","170310203013"
"G17003100203021","29","2","170310203021"
"G17003100203022","19","1","170310203022"
"G17003100203023","28","2","170310203023"
"G17003100204001","30","3","170310204001"
"G17003100204002","34","3","170310204002"
"G17003100204003","42","4","170310204003"
"G17003100205001","69","7","170310205001"
"G17003100205002","45","4","170310205002"
"G17003100205003","76","8","170310205003"
"G17003100205004","52","5","170310205004"
"G17003100206011","23","2","170310206011"
"G17003100206012","41","4","170310206012"
"G17003100206013","67","7","170310206013"
"G17003100206021","40","4","170310206021"
"G17003100206022","29","2","170310206022"
"G17003100206023","23","2","170310206023"
"G17003100206024","18","1","170310206024"
"G17003100207011","23","2","170310207011"
"G17003100207012","24","2","170310207012"
"G17003100207021","72","7","170310207021"
"G17003100207022","57","6","170310207022"
"G17003100207023","56","5","170310207023"
"G17003100207024","70","7","170310207024"
"G17003100208011","37","3","170310208011"
"G17003100208012","22","2","170310208012"
"G17003100208013","32","3","170310208013"
"G17003100208014","34","3","170310208014"
"G17003100208021","24","2","170310208021"
"G17003100208022","58","6","170310208022"
"G17003100208023","32","3","170310208023"
"G17003100208024","46","4","170310208024"
"G17003100209011","64","6","170310209011"
"G17003100209012","74","7","170310209012"
"G17003100209013","50","5","170310209013"
"G17003100209021","85","9","170310209021"
"G17003100209022","79","8","170310209022"
"G17003100301011","55","5","170310301011"
"G17003100301012","79","8","170310301012"
"G17003100301013","55","5","170310301013"
"G17003100301014","36","3","170310301014"
"G17003100301021","45","4","170310301021"
"G17003100301022","55","5","170310301022"
"G17003100301023","52","5","170310301023"
"G17003100301031","41","4","170310301031"
"G17003100301032","74","7","170310301032"
"G17003100301041","GQ","GQ","170310301041"
"G17003100301042","75","8","170310301042"
"G17003100302001","37","3","170310302001"
"G17003100302002","23","2","170310302002"
"G17003100302003","9","1","170310302003"
"G17003100302004","37","3","170310302004"
"G17003100303001","42","4","170310303001"
"G17003100303002","28","2","170310303002"
"G17003100304001","40","4","170310304001"
"G17003100304002","17","1","170310304002"
"G17003100305001","32","3","170310305001"
"G17003100305002","15","1","170310305002"
"G17003100305003","23","2","170310305003"
"G17003100305004","27","2","170310305004"
"G17003100306011","52","5","170310306011"
"G17003100306012","37","3","170310306012"
"G17003100306013","62","6","170310306013"
"G17003100306031","55","5","170310306031"
"G17003100306032","43","4","170310306032"
"G17003100306041","50","5","170310306041"
"G17003100306042","52","5","170310306042"
"G17003100306043","67","7","170310306043"
"G17003100307011","64","6","170310307011"
"G17003100307021","53","5","170310307021"
"G17003100307022","63","6","170310307022"
"G17003100307031","50","5","170310307031"
"G17003100307032","62","6","170310307032"
"G17003100307033","47","4","170310307033"
"G17003100307061","39","3","170310307061"
"G17003100307062","42","4","170310307062"
"G17003100308001","10","1","170310308001"
"G17003100308002","15","1","170310308002"
"G17003100308003","17","1","170310308003"
"G17003100308004","17","1","170310308004"
"G17003100309001","22","2","170310309001"
"G17003100309002","23","2","170310309002"
"G17003100309003","22","2","170310309003"
"G17003100309004","24","2","170310309004"
"G17003100310001","13","1","170310310001"
"G17003100310002","27","2","170310310002"
"G17003100310003","29","2","170310310003"
"G17003100311001","14","1","170310311001"
"G17003100311002","30","3","170310311002"
"G17003100311003","31","3","170310311003"
"G17003100312001","36","3","170310312001"
"G17003100312002","49","5","170310312002"
"G17003100312003","50","5","170310312003"
"G17003100312004","54","5","170310312004"
"G17003100313001","86","9","170310313001"
"G17003100313002","49","5","170310313002"
"G17003100313003","27","2","170310313003"
"G17003100313004","30","3","170310313004"
"G17003100313005","62","6","170310313005"
"G17003100314001","54","5","170310314001"
"G17003100314002","47","4","170310314002"
"G17003100314003","34","3","170310314003"
"G17003100314004","32","3","170310314004"
"G17003100314005","48","4","170310314005"
"G17003100315011","40","4","170310315011"
"G17003100315012","37","3","170310315012"
"G17003100315013","37","3","170310315013"
"G17003100315021","41","4","170310315021"
"G17003100315022","51","5","170310315022"
